Id;Name;Username;UserAvatar
1;Australia;Australia;Australia.png
2;Montenegro;Montenegro;Montenegro.png
3;Ireland;Ireland;Ireland.png
4;Latvia;Latvia;Latvia.png
5;Armenia;Armenia;Armenia.png
6;Austria;Austria;Austria.png
7;Greece;Greece;Greece.png
8;Lithuania;Lithuania;Lithuania.png
9;Malta;Malta;Malta.png
10;Georgia;Georgia;Georgia.png
11;Denmark;Denmark;Denmark.png
12;Czechia;Czechia;Czechia.png
13;Luxembourg;Luxembourg;Luxembourg.png
14;Israel;Israel;Israel.png
15;Serbia;Serbia;Serbia.png
16;Finland;Finland;Finland.png
