Id;Name;Username;UserAvatar
1;Bulgaria;Bulgaria;Bulgaria.png
2;Azerbaijan;Azerbaijan;Azerbaijan.png
3;Romania;Romania;Romania.png
4;Luxembourg;Luxembourg;Luxembourg.png
5;Czechia;Czechia;Czechia.png
6;Armenia;Armenia;Armenia.png
7;Switzerland;Switzerland;Switzerland.png
8;Cyprus;Cyprus;Cyprus.png
9;Latvia;Latvia;Latvia.png
10;Denmark;Denmark;Denmark.png
11;Australia;Australia;Australia.png
12;Ukraine;Ukraine;Ukraine.png
13;Albania;Albania;Albania.png
14;Malta;Malta;Malta.png
15;Norway;Norway;Norway.png
